상품명,가격,카테고리,중량,칼로리,단백질,지방,탄수화물,나트륨,행사 정보,편의점 코드,이미지 주소
하비스트달콤고소,"1700
",과자,100,515,6,25,67,350,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062870400_W.jpg
삼거리캔디,"2000
",과자,21,78,0,0,20,0,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809410070304_W.jpg
팔머초콜릿,"1500
",과자,50,275,2,15,33,30,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809256677972.jpg
딸기웨하스,"1000
",과자,50,250,3,11,34,85,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801019307096.jpg
크림웨하스,"1000
",과자,56,255,3,12,34,95,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801019307089.jpg
하리보다이노스,"2000
",과자,200,333,6.3,0,77,36,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8691216096134.jpg
오잉포차꾸이오잉칩,"1700
",과자,100,530,12,27,60,770,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062872947.jpg
하리보피치컵,"3800
",과자,175,337,6,0.1,78,30,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8691216096219.jpg
틱톡젤리포도,"3000
",과자,170,40,0,0,10,15,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809714120699.jpg
츄러스쫀득이,"1200
",과자,35,60,1,0.5,13,94,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809004643563.jpg
우유식빵,"2200
",식품,350,285,9,4.6,52,370,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809813420010.jpg
딸기맛카스테라,"1300
",식품,90,365,5,14,55,123,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809273374205.jpg
흔한남매냐하젤리,"1500
",과자,50,175,4,0,40,15,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809566100009.jpg
구운짜장,"1500
",식품,70,365,5,19,43,470,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801019610448.jpg
꼬깔콘찰옥수수맛,"1700
",과자,72,170,1.4,10.3,17.6,200,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062875719.jpg
초코청크로얄쿠키,"1600
",과자,70,347,4,15,50,134,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809692951766.jpg
생생감자칩레인보우,"1500
",과자,60,335,3,22,31,160,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801019610370.jpg
촉촉한초코칩,"4800
",과자,160,102,1,6,11,30,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801117127008.jpg
티피크리스피,"1200
",과자,40,200,3.4,10,24.6,140,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801019207945.jpg
ABC초코쿠키핑크베리,"1000
",과자,130,540,7,30,60,270,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062876952.jpg
생미쉘초코칩마들렝,"3500
",식품,175,783,10,39,98,525,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/3178530407938.jpg
생미쉘마들렝,"3500
",식품,250,474,5.7,27,52,352,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/3178530402353.jpg
감튀레드칠리맛,"1700
",과자,60,320,3,18,36,350,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043058759.jpg
허쉬미스터굿바,"1600
",과자,124,694,13,42,66,123,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/0034000002436.jpg
밀카칩스아호이,"2900
",과자,100,555,5,35,55,172,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/7622210269249.jpg
옥수수깡,"1700
",과자,70,370,3,20,45,330,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043058841.jpg
빅카초,"1200
",과자,58,303,3,15,39,75,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111942409.jpg
밀크초코바나나킥,"2000
",과자,60,150,2,7,20,55,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043044141.jpg
가나다크밀크,"2400
",과자,70,395,7,25,36,40,2+1,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062880201.jpg
짱구,"1500
",과자,115,155,2,8,19,65,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801073310698.jpg
쁘띠몽쉘레몬그린티,"2000
",과자,272,90,1.2,6,8,30,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062881550.jpg
트롤리키스,"2500
",과자,200,340,5,0,80,80,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8436556395932.jpg
조안나팝콘,"2000
",과자,65,315,3,11,51,250,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062880591.jpg
아몬드초코볼,"2000
",과자,46,265,5,18,21,20,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062634330.jpg
후룻바틀파인애플,"8000
",식품,666,40,0,0,10,0,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809069305826.jpg
후레쉬베리,"3600
",식품,336,127,1,7,15,50,2+1,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801117540210.jpg
꾀돌이,"700
",식품,900,436,12,12,76,264,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809036521228.jpg
밭두렁,"700
",과자,45,118,2,1,26,78,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809440480340.jpg
별뽀빠이,"3200
",과자,288,335,6,11,53,220,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801073340077.jpg
사또밥,"1500
",과자,67,170,1,11,17,40,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801073310711.jpg
댄케이크버터쿠키,"800
",과자,200,1019,10.8,52,127,200,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/0656368002974.jpg
고소미,"1200
",과자,76,361,8,13,53,410,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801117282806.jpg
감자품격트러플,"2000
",과자,48,200,0,3.6,41,380,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111937832.jpg
오븐에구운도넛,"1200
",식품,400,175,2,7,26,100,2+1,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801068377705.jpg
허쉬카카오파이,"3000
",과자,420,160,2,7,22,130,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062891931.jpg
카스테라롤,"2200
",식품,125,470,7,22,61,280,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801068377415.jpg
포키,"1700
",과자,46,225,4,4,30,160,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801019314001.jpg
쫄병짜파게티맛,"1200
",과자,77,150,2,8,18,250,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043048774.jpg
에스키모밥,"1500
",과자,60,145,2,6,21,180,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043045346.jpg
꽃게랑,"1700
",과자,70,165,2,9,19,210,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111770132.jpg
포키극세,"1700
",과자,150,225,4,11,28,150,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801019309946.jpg
밀카오레오,"2900
",과자,92,475,5.7,25.5,55,225,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/7622210262202.jpg
몬스터칙촉티라미수,"1200
",과자,40,200,3,11,22,130,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062015191.jpg
몬스터칙촉쇼콜라,"1200
",과자,40,200,3,10,24,85,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062015177.jpg
자유시간아몬드,"1000
",과자,36,185,3,9,23,65,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801019207655.jpg
오징어다리달달구이,"1500
",과자,75,355,4,13,55,500,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043042956.jpg
오레오오즈,"6600
",과자,500,120,1,1.5,26,120,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801037065619.jpg
허쉬밀크초콜릿,"1600
",과자,15980,555,7,32,60,80,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/0000000342400.jpg
자유시간크리스피,"1000
",과자,27,134,2,6,18,45,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801019207464.jpg
쫄병안성탕면맛,"1200
",과자,77,395,6,21,46,640,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043040990.jpg
콘치크림치즈,"1500
",과자,162,532,7,28,63,210,2+1,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111183062.jpg
새우깡,"1500
",과자,90,465,6,25,54,610,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043035989.jpg
허니버터칩,"1700
",과자,60,345,2,24,30,200,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801019606540.jpg
꿀꽈배기,"1700
",과자,90,450,2.8,21,63,230,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043036177.jpg
매운새우깡,"1500
",과자,90,450,6,20,59,650,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043036078.jpg
포카칩오리지널,"1700
",과자,66,167,2,11,15,115,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801117760106.jpg
포스틱,"1700
",과자,156,140,1,4.7,23,190,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043036436.jpg
다이제초코,"2500
",과자,225,509,6,25,65,530,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801117277406.jpg
칸쵸,"1200
",과자,54,260,3.5,11,36,155,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062518210.jpg
콘칩,"1500
",과자,72,381,4,21,44,120,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111611312.jpg
쫄병매콤한맛,"1200
",과자,82,430,5,24,49,460,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043031431.jpg
초코송이,"1000
",과자,36,190,2,10,23,80,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801117446901.jpg
칙촉,"2400
",과자,168,820,11.2,41,101,550,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062247431.jpg
오레오초콜릿크림,"2000
",과자,133,493,4.4,21,71.7,455,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801037088205.jpg
몽쉘크림케이크,"3300
",식품,135,495,8,30,48,145,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062273294.jpg
양파,"4000
",음료,2100,30,0,0,8,10,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8886467100024.jpg
초코칩쿠키,"1500
",과자,60,294.2,3.5,13.3,40,144.6,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801117267605.jpg
초코픽,"1700
",과자,45,220,4,9,31,130,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801019308246.jpg
빅파이딸기,"3200
",과자,324,455,5,19,66,240,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111180481.jpg
쵸코하임,"3300
",과자,47,254,4,14,28,65,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111186216.jpg
뿌셔뿌셔불고기맛,"1200
",식품,95,440,9,16,65,980,2+1,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801045560038.jpg
꼬북칩콘스프맛,"1700
",과자,80,175,1,11,18,210,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801117784409.jpg
조청유과,"1700
",과자,96,170,1,10,19,75,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043036719.jpg
도라에몽츄러스,"700
",과자,480,110,1,7,12,30,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809394830185.jpg
구운감자,"4000
",과자,162,130,1,6,19,210,2+1,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801019602504.jpg
알새우칩,"1700
",과자,68,345,4,17,46,510,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043036399.jpg
화이트하임,"3300
",과자,47,256,3.4,14,29,65,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111186247.jpg
오레오씬즈티라미수,"2000
",과자,840,205,2,9,29,140,2+1,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801037091106.jpg
감자깡,"1700
",과자,75,150,2,6,22,190,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043036139.jpg
카라멜콘땅콩,"1500
",과자,24,127,1,7,15,40,2+1,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111180986.jpg
정통크림빵,"1500
",식품,225,280,4,12,39,240,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801068086003.jpg
정통보름달,"1300
",식품,189,205,3,5,37,130,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801068085990.jpg
허니카스테라,"2500
",식품,380,345,7,16,43,50,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801068082630.jpg
롱패스츄리,"1700
",식품,110,395,6,19,50,320,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062478972.jpg
초코와플,"1700
",과자,130,517,6,29,58,97,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/5410126132472.jpg
킨더초콜릿맥시,"900
",과자,126,119,1.8,7.4,11.4,25.8,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/0000080050094.jpg
페레로로쉐,"4300
",과자,300,1784,25,128,133,180,2+1,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/0000080135906.jpg
밀크카라멜,"1000
",과자,50,205,2,5,38,130,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062335633.jpg
드림카카오,"3500
",과자,86,545,9,39,39,10,2+1,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062633715.jpg
하리보스타믹스,"2000
",과자,250,336,7,0,77,30,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/5012035901738.jpg
새콤달콤포도,"500
",과자,29,35,0,0.8,7,0,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111188012.jpg
새콤달콤딸기,"500
",과자,29,35,0,0.8,7,0,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111187992.jpg
하리보해피콜라,"2000
",과자,80,264,5.4,0,59.1,24,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/4001686323366.jpg
하리보골드바렌,"2000
",과자,980,340,7,0.3,77,30,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/4001686301555.jpg
통아몬드캔디,"2000
",과자,90,52,0,3.1,6,10,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801117331009.jpg
마이쮸포도,"800
",과자,132,185,0.7,4,36,15,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111187893.jpg
마이쮸복숭아,"800
",과자,132,185,0.7,4,36,15,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111187930.jpg
마이쮸사과,"800
",과자,132,185,0.7,4,36,15,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111187916.jpg
마이쮸딸기,"800
",과자,132,185,0.7,4,36,15,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111187879.jpg
핫브레이크,"1000
",과자,50,249,5,13,28,75,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801117449803.jpg
츄파춥스,"300
",과자,720,390,0,0,97,75,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8410031920093.jpg
멘토스레인보우,"800
",과자,37.5,140,0,0.6,34,15,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/6921211104292.jpg
새콤달콤복숭아,"500
",과자,29,120,0,2.7,24,5,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111188036.jpg
뽕따소다맛,"1800
",아이스크림,130,115,0,3.2,22,50,1+1,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801104111355.jpg
탱크보이,"1800
",아이스크림,720,95,0,1.5,20,20,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809713220390.jpg
졸음사냥,"1500
",아이스크림,140,130,1,0,32,50,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801104670920.jpg
아침햇살흑임자콘,"2000
",아이스크림,150,230,4,9,33,55,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801382703044.jpg
녹차붕어싸만코,"2000
",아이스크림,150,220,3,7,36,80,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801104305136.jpg
엑설런트,"10000
",아이스크림,340,140,2,9,12,50,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801104163057.jpg
거북알초코,"800
",아이스크림,120,85,2,4.2,10,20,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801118250590.jpg
거꾸로수박바,"1200
",아이스크림,75,90,0,1.4,19,25,1+1,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062004720.jpg
솔티드카라멜바,"4200
",아이스크림,70,105,1,2.7,19,50,0,5,http://cdn2.bgfretail.com/bgfbrand/files/product/7EF9F726F3B442B9ADFF384D1662EE18.jpg
설레임밀크쉐이크,"2200
",아이스크림,160,175,3,6,27,55,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062623495.jpg
찰떡아이스,"2200
",아이스크림,90,180,3,4.4,32,30,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062435197.jpg
메로나,"1500
",아이스크림,75,120,1,5,18,50,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801104123280.jpg
소고기무국,"2000
",즉석요리,500,80,8,1.8,8,1565,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809029110897.jpg
소고기미역국,"2000
",즉석요리,350,95,7,7,2,840,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809029110880.jpg
유기농쌀밥,"7500
",즉석요리,210,315,6,0.6,72,0,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801007853383.jpg
샤인머스켓,"5700
",음료,230,120,0,0,30,0,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/2202000018315.jpg
비비고칩포테이토,"3900
",과자,40,255,1,20,18,270,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801007761541.jpg
수박,"24000
",아이스크림,100,130,0.9,0.9,30,10,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809919290180.jpg
복숭아,"4500
",식품,200,225,1,0,54,10,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809919290166.jpg
비비고순댓국,"7900
",즉석요리,460,390,24,24,19,1650,2+1,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801007792835.jpg
비비고감자탕,"7900
",즉석요리,460,305,34,9,22,1810,2+1,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801007792736.jpg
비비고추어탕,"7900
",즉석요리,460,195,12,9,16,1570,2+1,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801007769868.jpg
한끼잡채,"3900
",즉석요리,300,545,8,18,87,1039,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809109115996.jpg
망고,"5900
",아이스크림,85,131,3,0,32,17,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809296016274.jpg
고소쌈장,"6000
",식품,450,40,2,1.1,5,290,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801114149157.jpg
낙지김치죽,"5900
",즉석요리,400,56,2,0,12,191,2+1,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801007795188.jpg
김말이튀김,"4300
",즉석요리,1000,191,1.8,7.5,29,223,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809109117419.jpg
물냉면,"3500
",식품,215,344,12.2,0.1,73.5,402,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801165014381.jpg
시래기된장국,"5900
",즉석요리,8,30,2,0.9,4,360,2+1,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801007971339.jpg
라이스페이퍼,"3500
",식품,280,340,0.5,0,85,390,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8938505846187.jpg
한우소고기죽,"5900
",즉석요리,500,285,6,6,53,880,2+1,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801007901282.jpg
전복내장죽,"5900
",즉석요리,300,60.33,1.28,1.33,10.81,152.25,2+1,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801007901268.jpg
춘천막국수,"8000
",식품,130,505,13,20,68,1070,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801114152195.jpg
메밀소바,"2400
",식품,380,300,12,2,59,1700,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801085881056.jpg
비빔막국수,"2400
",즉석요리,378,605,14,15,103,1250,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801085880653.jpg
유부초밥,"6000
",즉석요리,182,480,8,11,50,660,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801114101834.jpg
본고장유부우동,"3600
",식품,217,280,10,3.7,77,1940,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801085882695.jpg
순대곱창볶음,"7900
",즉석요리,300,1185,20,10,253,1912,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801077782101.jpg
딸기,"11000
",식품,1200,195,1,0,47,20,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809917000026.jpg
한라봉,"8200
",아이스크림,90,145,0.9,1.4,32,15,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809919290067.jpg
불고기왕꼬치,"2400
",식품,100,210,13,12,13,850,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801052043425.jpg
감말랭이,"3800
",식품,70,135,0,0,0,0,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809826440456.jpg
